Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^NDX,^NDX,^NDX,^NDX,^NDX,^NDX
Date,,,,,,
1986-08-19,148.5950012,148.5950012,149.0850067,147.9799957,149.0700073,222800000
1986-08-20,149.7550049,149.7550049,149.9049988,148.4649963,148.5950012,227800000
1986-08-21,150.0099945,150.0099945,150.6549988,149.4600067,149.7550049,223800000
1986-08-22,150.9450073,150.9450073,151.2550049,149.6900024,150.0099945,202600000
1986-08-25,149.9100037,149.9100037,151.1150055,149.7749939,150.9450073,149600000
1986-08-26,151.1549988,151.1549988,151.2299957,149.875,149.9100037,197680000
1986-08-27,152.0200043,152.0200043,152.1649933,151.0700073,151.1549988,206000000
1986-08-28,152.0449982,152.0449982,152.3000031,151.3549957,152.0200043,210000000
1986-08-29,151.6999969,151.6999969,152.5549927,151.6950073,152.0449982,164500000
1986-09-02,149.3399963,149.3399963,152.0700073,149.1499939,151.6999969,195160000
1986-09-03,149.8200073,149.8200073,149.8399963,148.5950012,149.3399963,194000000
1986-09-04,151.3950043,151.3950043,151.7250061,149.7899933,149.8200073,205000000
1986-09-05,149.6699982,149.6699982,151.9049988,149.5449982,151.3950043,222800000
1986-09-08,146.5500031,146.5500031,149.6699982,146.3500061,149.6699982,194480000
1986-09-09,145.7599945,145.7599945,147.3150024,145.4100037,146.5500031,240200000
1986-09-10,144.7400055,144.7400055,145.7599945,144.5700073,145.7599945,231200000
1986-09-11,138.4600067,138.4600067,144.7400055,138.4600067,144.7400055,276200000
1986-09-12,135.0350037,135.0350037,138.6150055,134.8450012,138.4600067,279600000
1986-09-15,134.9400024,134.9400024,135.9600067,134.0850067,135.0350037,205800000
1986-09-16,135.2100067,135.2100067,135.25,133.2799988,134.9400024,209800000
1986-09-17,136.3899994,136.3899994,136.9900055,135.0549927,135.2100067,210400000
1986-09-18,138.1349945,138.1349945,138.5700073,136.2949982,136.3899994,199920000
1986-09-19,138.4550018,138.4550018,138.4949951,137.0249939,138.1349945,208000000
1986-09-22,140.1199951,140.1199951,140.2949982,138.3500061,138.5200043,178060000
1986-09-23,139.5650024,139.5650024,141.0599976,139.0500031,140.1199951,219000000
1986-09-24,139.2350006,139.2350006,140.0749969,138.6649933,139.5650024,196220000
1986-09-25,137.6150055,137.6150055,137.6150055,137.6150055,137.6150055,205000000
1986-09-26,137.5850067,137.5850067,138.1199951,136.4900055,137.6150055,169180000
1986-09-29,135.5350037,135.5350037,137.5850067,134.8150024,137.5850067,164740000
1986-09-30,137.4949951,137.4949951,137.8399963,135.5350037,135.5350037,201600000
1986-10-01,138.2649994,138.2649994,139.0099945,137.5200043,137.5200043,204000000
1986-10-02,138.2200012,138.2200012,138.4299927,137.4049988,138.2649994,183180000
1986-10-03,138.5549927,138.5549927,139.3699951,137.6600037,138.2200012,196500000
